pixel_ID,lat,lon,utm_n,utm_e,population,active
397,-23.90741259,-46.11303842,7355578.114,386706.0268,0,N
398,-23.90748338,-46.1032155,7355578.114,387706.0268,0,N
399,-23.90755355,-46.09339254,7355578.114,388706.0268,0,N
400,-23.88853982,-47.06548569,7356578.114,289706.0268,0,N
401,-23.88867134,-47.05566872,7356578.114,290706.0268,0,N
402,-23.88880224,-47.04585167,7356578.114,291706.0268,0,N
403,-23.88893251,-47.03603456,7356578.114,292706.0268,0,N
404,-23.88906215,-47.02621737,7356578.114,293706.0268,0,N
405,-23.88919117,-47.01640012,7356578.114,294706.0268,0,N
406,-23.88931956,-47.0065828,7356578.114,295706.0268,0,N
407,-23.88944733,-46.99676541,7356578.114,296706.0268,0,N
408,-23.88957447,-46.98694795,7356578.114,297706.0268,0,N
409,-23.88970098,-46.97713042,7356578.114,298706.0268,0,N
410,-23.88982687,-46.96731282,7356578.114,299706.0268,0,N
411,-23.88995213,-46.95749516,7356578.114,300706.0268,0,N
412,-23.89007677,-46.94767743,7356578.114,301706.0268,0,N
413,-23.89020078,-46.93785963,7356578.114,302706.0268,0,N
414,-23.89032417,-46.92804177,7356578.114,303706.0268,0,N
415,-23.89044693,-46.91822384,7356578.114,304706.0268,0,N
416,-23.89056906,-46.90840585,7356578.114,305706.0268,0,N
417,-23.89069057,-46.89858779,7356578.114,306706.0268,0,N
418,-23.89081145,-46.88876966,7356578.114,307706.0268,0,N
419,-23.89093171,-46.87895147,7356578.114,308706.0268,0,N
420,-23.89105134,-46.86913322,7356578.114,309706.0268,0,N
421,-23.89117034,-46.8593149,7356578.114,310706.0268,0,N
422,-23.89128872,-46.84949652,7356578.114,311706.0268,0,N
423,-23.89140647,-46.83967808,7356578.114,312706.0268,0,N
424,-23.8915236,-46.82985957,7356578.114,313706.0268,0,N
425,-23.8916401,-46.820041,7356578.114,314706.0268,0,N
426,-23.89175597,-46.81022236,7356578.114,315706.0268,0,N
427,-23.89187122,-46.80040367,7356578.114,316706.0268,0,N
428,-23.89198584,-46.79058491,7356578.114,317706.0268,0,N
429,-23.89209984,-46.7807661,7356578.114,318706.0268,0,N
430,-23.8922132,-46.77094722,7356578.114,319706.0268,0,N
431,-23.89232595,-46.76112828,7356578.114,320706.0268,0,N
